                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5148,                  4.038,                 1.3749,                0.00215,                0.14346,                0.03808,                0.02739,                 1.3168,                 4.0711,                 1.2201,                 0.0955,                 0.0005,                 0.0005
                      1,                 1.4111,                 3.9429,                 1.3049,                0.00191,                0.14732,                0.06791,                0.05572,                 1.2288,                  4.042,                 1.1433,               0.090046,              0.0010455,              0.0010455
                      2,                 1.3071,                 3.9684,                 1.2451,                0.00179,                0.14732,                0.10305,                0.08375,                 1.2322,                 3.9773,                 1.1092,               0.084532,              0.0015317,              0.0015317
                      3,                 1.3024,                 3.6275,                 1.1866,                0.00298,                0.16663,                0.12099,                0.09659,                 1.2175,                 3.9073,                 1.0944,               0.078958,              0.0019585,              0.0019585
                      4,                 1.1812,                 3.7011,                 1.1364,                0.00374,                0.17881,                0.12751,                0.10266,                  1.213,                 3.7838,                 1.0715,               0.073326,              0.0023258,              0.0023258
                      5,                 1.1978,                   2.83,                 1.1314,                 0.9831,                0.05756,                0.13297,                 0.1071,                 1.2029,                 3.6326,                 1.0604,               0.067634,              0.0026337,              0.0026337
                      6,                 1.2642,                 2.3986,                 1.2123,                      1,                0.06463,                0.19636,                0.15101,                  1.233,                 3.4629,                 1.0707,               0.061882,              0.0028823,              0.0028823
                      7,                 1.3494,                 2.1004,                 1.1956,                0.88235,                0.10594,                0.30397,                0.19362,                 1.3571,                 2.9859,                 1.1414,               0.056071,              0.0030715,              0.0030715
                      8,                 1.1919,                 1.8298,                 1.1886,                0.97883,                0.15882,                0.41468,                0.26026,                 1.3252,                 2.6883,                 1.1394,               0.050201,              0.0032012,              0.0032012
                      9,                 1.2707,                 1.9879,                 1.1558,                0.97795,                0.14701,                0.43211,                0.28492,                 1.2569,                 2.6285,                 1.1146,               0.044272,              0.0032716,              0.0032716
                     10,                 1.1426,                 1.8927,                 1.1645,                 0.8465,                0.21381,                0.47262,                 0.3108,                 1.2885,                 2.4449,                 1.1362,               0.038283,              0.0032825,              0.0032825
                     11,                 1.0861,                 1.5397,                   1.11,                0.84059,                0.26092,                0.49374,                0.32097,                 1.2685,                 2.3383,                 1.1261,               0.032234,              0.0032341,              0.0032341
                     12,                 1.1148,                 1.5887,                 1.1658,                0.86252,                0.30111,                0.52777,                0.34502,                 1.2559,                  2.203,                 1.1197,               0.026126,              0.0031262,              0.0031262
                     13,                 1.0519,                 1.4752,                 1.1122,                0.86339,                0.37213,                 0.5518,                0.35076,                 1.2638,                  2.058,                 1.1175,               0.019959,               0.002959,               0.002959
                     14,                  1.039,                 1.3718,                 1.0881,                0.88996,                0.41341,                0.55938,                0.36342,                 1.2616,                 1.9744,                 1.1115,               0.013732,              0.0027323,              0.0027323
                     15,                 1.2006,                 1.4001,                   1.15,                0.89431,                0.47024,                0.57636,                0.36631,                 1.2462,                 1.8271,                 1.1028,              0.0074463,              0.0024463,              0.0024463
                     16,                  1.102,                 1.4966,                 1.2414,                 0.8866,                0.50314,                0.57944,                0.36898,                 1.2503,                 1.7121,                 1.1014,                0.00208,                0.00208,                0.00208
                     17,                 1.0623,                 1.3956,                 1.0528,                0.87957,                 0.5114,                0.58702,                0.37589,                  1.243,                 1.5879,                 1.1079,                0.00208,                0.00208,                0.00208
                     18,                 1.0926,                 1.4431,                 1.1689,                0.88144,                0.51919,                0.59127,                0.38029,                 1.2229,                 1.4987,                  1.096,               0.001585,               0.001585,               0.001585
                     19,                 1.0524,                 1.2681,                 1.0799,                 0.8995,                 0.5343,                0.59484,                 0.3882,                  1.206,                  1.436,                 1.0884,                0.00109,                0.00109,                0.00109
